1687683402979|16|statement|connection 1|url jdbc:oracle:thin:@localhost:1521:xe|     drop table member cascade constraints|     drop table member cascade constraints
1687957364168|8|statement|connection 2|url jdbc:oracle:thin:@localhost:1521:xe|     create table order_item (        order_item_id number(19,0) not null,         count number(10,0) not null,         order_price number(10,0) not null,         item_id number(19,0),         order_id number(19,0),         primary key (order_item_id)     )|     create table order_item (        order_item_id number(19,0) not null,         count number(10,0) not null,         order_price number(10,0) not null,         item_id number(19,0),         order_id number(19,0),         primary key (order_item_id)     )
1687957364175|6|statement|connection 2|url jdbc:oracle:thin:@localhost:1521:xe|     create table orders (        order_id number(19,0) not null,         order_date timestamp,         status varchar2(255 char),         delivery_id number(19,0),         member_id number(19,0),         primary key (order_id)     )|     create table orders (        order_id number(19,0) not null,         order_date timestamp,         status varchar2(255 char),         delivery_id number(19,0),         member_id number(19,0),         primary key (order_id)     )
1687957364183|8|statement|connection 2|url jdbc:oracle:thin:@localhost:1521:xe|     alter table category         add constraint FK2y94svpmqttx80mshyny85wqr         foreign key (parent_id)         references category|     alter table category         add constraint FK2y94svpmqttx80mshyny85wqr         foreign key (parent_id)         references category
1687957364191|7|statement|connection 2|url jdbc:oracle:thin:@localhost:1521:xe|     alter table category_item         add constraint FKu8b4lwqutcdq3363gf6mlujq         foreign key (item_id)         references item|     alter table category_item         add constraint FKu8b4lwqutcdq3363gf6mlujq         foreign key (item_id)         references item
1687957364197|5|statement|connection 2|url jdbc:oracle:thin:@localhost:1521:xe|     alter table category_item         add constraint FKcq2n0opf5shyh84ex1fhukcbh         foreign key (category_id)         references category|     alter table category_item         add constraint FKcq2n0opf5shyh84ex1fhukcbh         foreign key (category_id)         references category
1687957364205|7|statement|connection 2|url jdbc:oracle:thin:@localhost:1521:xe|     alter table order_item         add constraint FKija6hjjiit8dprnmvtvgdp6ru         foreign key (item_id)         references item|     alter table order_item         add constraint FKija6hjjiit8dprnmvtvgdp6ru         foreign key (item_id)         references item
1687957364211|5|statement|connection 2|url jdbc:oracle:thin:@localhost:1521:xe|     alter table order_item         add constraint FKt4dc2r9nbvbujrljv3e23iibt         foreign key (order_id)         references orders|     alter table order_item         add constraint FKt4dc2r9nbvbujrljv3e23iibt         foreign key (order_id)         references orders
1687957364218|6|statement|connection 2|url jdbc:oracle:thin:@localhost:1521:xe|     alter table orders         add constraint FKtkrur7wg4d8ax0pwgo0vmy20c         foreign key (delivery_id)         references delivery|     alter table orders         add constraint FKtkrur7wg4d8ax0pwgo0vmy20c         foreign key (delivery_id)         references delivery
1687957364225|6|statement|connection 2|url jdbc:oracle:thin:@localhost:1521:xe|     alter table orders         add constraint FKpktxwhj3x9m4gth5ff6bkqgeb         foreign key (member_id)         references member|     alter table orders         add constraint FKpktxwhj3x9m4gth5ff6bkqgeb         foreign key (member_id)         references member
1687957365976|13|statement|connection 3|url jdbc:oracle:thin:@localhost:1521:xe|select member0_.member_id as member_id1_4_, member0_.city as city2_4_, member0_.street as street3_4_, member0_.zipcode as zipcode4_4_, member0_.name as name5_4_ from member member0_ where member0_.name=?|select member0_.member_id as member_id1_4_, member0_.city as city2_4_, member0_.street as street3_4_, member0_.zipcode as zipcode4_4_, member0_.name as name5_4_ from member member0_ where member0_.name='hong'
1687957365985|2|statement|connection 3|url jdbc:oracle:thin:@localhost:1521:xe|select hibernate_sequence.nextval from dual|select hibernate_sequence.nextval from dual
1687957366052|17|statement|connection 3|url jdbc:oracle:thin:@localhost:1521:xe|insert into member (city, street, zipcode, name, member_id) values (?, ?, ?, ?, ?)|insert into member (city, street, zipcode, name, member_id) values (NULL, NULL, NULL, 'hong', 1)
1687957366061|3|statement|connection 3|url jdbc:oracle:thin:@localhost:1521:xe|select member0_.member_id as member_id1_4_, member0_.city as city2_4_, member0_.street as street3_4_, member0_.zipcode as zipcode4_4_, member0_.name as name5_4_ from member member0_ where member0_.name=?|select member0_.member_id as member_id1_4_, member0_.city as city2_4_, member0_.street as street3_4_, member0_.zipcode as zipcode4_4_, member0_.name as name5_4_ from member member0_ where member0_.name='hong'
1687957366085|1|rollback|connection 3|url jdbc:oracle:thin:@localhost:1521:xe||
1687957366101|0|statement|connection 4|url jdbc:oracle:thin:@localhost:1521:xe|select member0_.member_id as member_id1_4_, member0_.city as city2_4_, member0_.street as street3_4_, member0_.zipcode as zipcode4_4_, member0_.name as name5_4_ from member member0_ where member0_.name=?|select member0_.member_id as member_id1_4_, member0_.city as city2_4_, member0_.street as street3_4_, member0_.zipcode as zipcode4_4_, member0_.name as name5_4_ from member member0_ where member0_.name='hong'
1687957366103|0|statement|connection 4|url jdbc:oracle:thin:@localhost:1521:xe|select hibernate_sequence.nextval from dual|select hibernate_sequence.nextval from dual
1687957366113|0|rollback|connection 4|url jdbc:oracle:thin:@localhost:1521:xe||
1687957466808|13|statement|connection 1|url jdbc:oracle:thin:@localhost:1521:xe|     drop table category cascade constraints|     drop table category cascade constraints
1687957466818|9|statement|connection 1|url jdbc:oracle:thin:@localhost:1521:xe|     drop table category_item cascade constraints|     drop table category_item cascade constraints
1687957466830|11|statement|connection 1|url jdbc:oracle:thin:@localhost:1521:xe|     drop table delivery cascade constraints|     drop table delivery cascade constraints
1687957466845|15|statement|connection 1|url jdbc:oracle:thin:@localhost:1521:xe|     drop table item cascade constraints|     drop table item cascade constraints
1687957466857|12|statement|connection 1|url jdbc:oracle:thin:@localhost:1521:xe|     drop table member cascade constraints|     drop table member cascade constraints
1687957466871|13|statement|connection 1|url jdbc:oracle:thin:@localhost:1521:xe|     drop table order_item cascade constraints|     drop table order_item cascade constraints
1687957466883|11|statement|connection 1|url jdbc:oracle:thin:@localhost:1521:xe|     drop table orders cascade constraints|     drop table orders cascade constraints
1687957466887|3|statement|connection 1|url jdbc:oracle:thin:@localhost:1521:xe|     drop sequence hibernate_sequence|     drop sequence hibernate_sequence
1687957466892|2|statement|connection 2|url jdbc:oracle:thin:@localhost:1521:xe|create sequence hibernate_sequence start with 1 increment by  1|create sequence hibernate_sequence start with 1 increment by  1
1687957466900|7|statement|connection 2|url jdbc:oracle:thin:@localhost:1521:xe|     create table category (        category_id number(19,0) not null,         name varchar2(255 char),         parent_id number(19,0),         primary key (category_id)     )|     create table category (        category_id number(19,0) not null,         name varchar2(255 char),         parent_id number(19,0),         primary key (category_id)     )
1687957466905|4|statement|connection 2|url jdbc:oracle:thin:@localhost:1521:xe|     create table category_item (        category_id number(19,0) not null,         item_id number(19,0) not null     )|     create table category_item (        category_id number(19,0) not null,         item_id number(19,0) not null     )
1687957466914|7|statement|connection 2|url jdbc:oracle:thin:@localhost:1521:xe|     create table delivery (        delivery_id number(19,0) not null,         city varchar2(255 char),         street varchar2(255 char),         zipcode varchar2(255 char),         status varchar2(255 char),         primary key (delivery_id)     )|     create table delivery (        delivery_id number(19,0) not null,         city varchar2(255 char),         street varchar2(255 char),         zipcode varchar2(255 char),         status varchar2(255 char),         primary key (delivery_id)     )
1687957466925|10|statement|connection 2|url jdbc:oracle:thin:@localhost:1521:xe|     create table item (        dtype varchar2(31 char) not null,         item_id number(19,0) not null,         name varchar2(255 char),         price number(10,0) not null,         stock_quantity number(10,0) not null,         artist varchar2(255 char),         exc varchar2(255 char),         author varchar2(255 char),         isbn varchar2(255 char),         actor varchar2(255 char),         director varchar2(255 char),         primary key (item_id)     )|     create table item (        dtype varchar2(31 char) not null,         item_id number(19,0) not null,         name varchar2(255 char),         price number(10,0) not null,         stock_quantity number(10,0) not null,         artist varchar2(255 char),         exc varchar2(255 char),         author varchar2(255 char),         isbn varchar2(255 char),         actor varchar2(255 char),         director varchar2(255 char),         primary key (item_id)     )
1687957466932|6|statement|connection 2|url jdbc:oracle:thin:@localhost:1521:xe|     create table member (        member_id number(19,0) not null,         city varchar2(255 char),         street varchar2(255 char),         zipcode varchar2(255 char),         name varchar2(255 char),         primary key (member_id)     )|     create table member (        member_id number(19,0) not null,         city varchar2(255 char),         street varchar2(255 char),         zipcode varchar2(255 char),         name varchar2(255 char),         primary key (member_id)     )
1687957466939|7|statement|connection 2|url jdbc:oracle:thin:@localhost:1521:xe|     create table order_item (        order_item_id number(19,0) not null,         count number(10,0) not null,         order_price number(10,0) not null,         item_id number(19,0),         order_id number(19,0),         primary key (order_item_id)     )|     create table order_item (        order_item_id number(19,0) not null,         count number(10,0) not null,         order_price number(10,0) not null,         item_id number(19,0),         order_id number(19,0),         primary key (order_item_id)     )
1687957466946|6|statement|connection 2|url jdbc:oracle:thin:@localhost:1521:xe|     create table orders (        order_id number(19,0) not null,         order_date timestamp,         status varchar2(255 char),         delivery_id number(19,0),         member_id number(19,0),         primary key (order_id)     )|     create table orders (        order_id number(19,0) not null,         order_date timestamp,         status varchar2(255 char),         delivery_id number(19,0),         member_id number(19,0),         primary key (order_id)     )
1687957466958|10|statement|connection 2|url jdbc:oracle:thin:@localhost:1521:xe|     alter table category         add constraint FK2y94svpmqttx80mshyny85wqr         foreign key (parent_id)         references category|     alter table category         add constraint FK2y94svpmqttx80mshyny85wqr         foreign key (parent_id)         references category
1687957466965|6|statement|connection 2|url jdbc:oracle:thin:@localhost:1521:xe|     alter table category_item         add constraint FKu8b4lwqutcdq3363gf6mlujq         foreign key (item_id)         references item|     alter table category_item         add constraint FKu8b4lwqutcdq3363gf6mlujq         foreign key (item_id)         references item
1687957466971|5|statement|connection 2|url jdbc:oracle:thin:@localhost:1521:xe|     alter table category_item         add constraint FKcq2n0opf5shyh84ex1fhukcbh         foreign key (category_id)         references category|     alter table category_item         add constraint FKcq2n0opf5shyh84ex1fhukcbh         foreign key (category_id)         references category
1687957466979|7|statement|connection 2|url jdbc:oracle:thin:@localhost:1521:xe|     alter table order_item         add constraint FKija6hjjiit8dprnmvtvgdp6ru         foreign key (item_id)         references item|     alter table order_item         add constraint FKija6hjjiit8dprnmvtvgdp6ru         foreign key (item_id)         references item
1687957466985|5|statement|connection 2|url jdbc:oracle:thin:@localhost:1521:xe|     alter table order_item         add constraint FKt4dc2r9nbvbujrljv3e23iibt         foreign key (order_id)         references orders|     alter table order_item         add constraint FKt4dc2r9nbvbujrljv3e23iibt         foreign key (order_id)         references orders
1687957466993|7|statement|connection 2|url jdbc:oracle:thin:@localhost:1521:xe|     alter table orders         add constraint FKtkrur7wg4d8ax0pwgo0vmy20c         foreign key (delivery_id)         references delivery|     alter table orders         add constraint FKtkrur7wg4d8ax0pwgo0vmy20c         foreign key (delivery_id)         references delivery
1687957466999|6|statement|connection 2|url jdbc:oracle:thin:@localhost:1521:xe|     alter table orders         add constraint FKpktxwhj3x9m4gth5ff6bkqgeb         foreign key (member_id)         references member|     alter table orders         add constraint FKpktxwhj3x9m4gth5ff6bkqgeb         foreign key (member_id)         references member
1687957468758|14|statement|connection 3|url jdbc:oracle:thin:@localhost:1521:xe|select member0_.member_id as member_id1_4_, member0_.city as city2_4_, member0_.street as street3_4_, member0_.zipcode as zipcode4_4_, member0_.name as name5_4_ from member member0_ where member0_.name=?|select member0_.member_id as member_id1_4_, member0_.city as city2_4_, member0_.street as street3_4_, member0_.zipcode as zipcode4_4_, member0_.name as name5_4_ from member member0_ where member0_.name='hong'
1687957468769|2|statement|connection 3|url jdbc:oracle:thin:@localhost:1521:xe|select hibernate_sequence.nextval from dual|select hibernate_sequence.nextval from dual
1687957468869|45|statement|connection 3|url jdbc:oracle:thin:@localhost:1521:xe|insert into member (city, street, zipcode, name, member_id) values (?, ?, ?, ?, ?)|insert into member (city, street, zipcode, name, member_id) values (NULL, NULL, NULL, 'hong', 1)
1687957468879|3|statement|connection 3|url jdbc:oracle:thin:@localhost:1521:xe|select member0_.member_id as member_id1_4_, member0_.city as city2_4_, member0_.street as street3_4_, member0_.zipcode as zipcode4_4_, member0_.name as name5_4_ from member member0_ where member0_.name=?|select member0_.member_id as member_id1_4_, member0_.city as city2_4_, member0_.street as street3_4_, member0_.zipcode as zipcode4_4_, member0_.name as name5_4_ from member member0_ where member0_.name='hong'
1687957468898|0|rollback|connection 3|url jdbc:oracle:thin:@localhost:1521:xe||
1687957468913|0|statement|connection 4|url jdbc:oracle:thin:@localhost:1521:xe|select member0_.member_id as member_id1_4_, member0_.city as city2_4_, member0_.street as street3_4_, member0_.zipcode as zipcode4_4_, member0_.name as name5_4_ from member member0_ where member0_.name=?|select member0_.member_id as member_id1_4_, member0_.city as city2_4_, member0_.street as street3_4_, member0_.zipcode as zipcode4_4_, member0_.name as name5_4_ from member member0_ where member0_.name='hong'
1687957468914|0|statement|connection 4|url jdbc:oracle:thin:@localhost:1521:xe|select hibernate_sequence.nextval from dual|select hibernate_sequence.nextval from dual
1687957468922|0|rollback|connection 4|url jdbc:oracle:thin:@localhost:1521:xe||
1687957606332|15|statement|connection 1|url jdbc:oracle:thin:@localhost:1521:xe|     drop table category cascade constraints|     drop table category cascade constraints
1687957606342|9|statement|connection 1|url jdbc:oracle:thin:@localhost:1521:xe|     drop table category_item cascade constraints|     drop table category_item cascade constraints
1687957606356|13|statement|connection 1|url jdbc:oracle:thin:@localhost:1521:xe|     drop table delivery cascade constraints|     drop table delivery cascade constraints
1687957606372|15|statement|connection 1|url jdbc:oracle:thin:@localhost:1521:xe|     drop table item cascade constraints|     drop table item cascade constraints
1687957606385|12|statement|connection 1|url jdbc:oracle:thin:@localhost:1521:xe|     drop table member cascade constraints|     drop table member cascade constraints
1687957606399|13|statement|connection 1|url jdbc:oracle:thin:@localhost:1521:xe|     drop table order_item cascade constraints|     drop table order_item cascade constraints
1687957606408|9|statement|connection 1|url jdbc:oracle:thin:@localhost:1521:xe|     drop table orders cascade constraints|     drop table orders cascade constraints
1687957606412|3|statement|connection 1|url jdbc:oracle:thin:@localhost:1521:xe|     drop sequence hibernate_sequence|     drop sequence hibernate_sequence
1687957606417|1|statement|connection 2|url jdbc:oracle:thin:@localhost:1521:xe|create sequence hibernate_sequence start with 1 increment by  1|create sequence hibernate_sequence start with 1 increment by  1
1687957606424|6|statement|connection 2|url jdbc:oracle:thin:@localhost:1521:xe|     create table category (        category_id number(19,0) not null,         name varchar2(255 char),         parent_id number(19,0),         primary key (category_id)     )|     create table category (        category_id number(19,0) not null,         name varchar2(255 char),         parent_id number(19,0),         primary key (category_id)     )
1687957606429|4|statement|connection 2|url jdbc:oracle:thin:@localhost:1521:xe|     create table category_item (        category_id number(19,0) not null,         item_id number(19,0) not null     )|     create table category_item (        category_id number(19,0) not null,         item_id number(19,0) not null     )
1687957606435|5|statement|connection 2|url jdbc:oracle:thin:@localhost:1521:xe|     create table delivery (        delivery_id number(19,0) not null,         city varchar2(255 char),         street varchar2(255 char),         zipcode varchar2(255 char),         status varchar2(255 char),         primary key (delivery_id)     )|     create table delivery (        delivery_id number(19,0) not null,         city varchar2(255 char),         street varchar2(255 char),         zipcode varchar2(255 char),         status varchar2(255 char),         primary key (delivery_id)     )
1687957606444|8|statement|connection 2|url jdbc:oracle:thin:@localhost:1521:xe|     create table item (        dtype varchar2(31 char) not null,         item_id number(19,0) not null,         name varchar2(255 char),         price number(10,0) not null,         stock_quantity number(10,0) not null,         artist varchar2(255 char),         exc varchar2(255 char),         author varchar2(255 char),         isbn varchar2(255 char),         actor varchar2(255 char),         director varchar2(255 char),         primary key (item_id)     )|     create table item (        dtype varchar2(31 char) not null,         item_id number(19,0) not null,         name varchar2(255 char),         price number(10,0) not null,         stock_quantity number(10,0) not null,         artist varchar2(255 char),         exc varchar2(255 char),         author varchar2(255 char),         isbn varchar2(255 char),         actor varchar2(255 char),         director varchar2(255 char),         primary key (item_id)     )
1687957606450|5|statement|connection 2|url jdbc:oracle:thin:@localhost:1521:xe|     create table member (        member_id number(19,0) not null,         city varchar2(255 char),         street varchar2(255 char),         zipcode varchar2(255 char),         name varchar2(255 char),         primary key (member_id)     )|     create table member (        member_id number(19,0) not null,         city varchar2(255 char),         street varchar2(255 char),         zipcode varchar2(255 char),         name varchar2(255 char),         primary key (member_id)     )
1687957606457|7|statement|connection 2|url jdbc:oracle:thin:@localhost:1521:xe|     create table order_item (        order_item_id number(19,0) not null,         count number(10,0) not null,         order_price number(10,0) not null,         item_id number(19,0),         order_id number(19,0),         primary key (order_item_id)     )|     create table order_item (        order_item_id number(19,0) not null,         count number(10,0) not null,         order_price number(10,0) not null,         item_id number(19,0),         order_id number(19,0),         primary key (order_item_id)     )
1687957606465|6|statement|connection 2|url jdbc:oracle:thin:@localhost:1521:xe|     create table orders (        order_id number(19,0) not null,         order_date timestamp,         status varchar2(255 char),         delivery_id number(19,0),         member_id number(19,0),         primary key (order_id)     )|     create table orders (        order_id number(19,0) not null,         order_date timestamp,         status varchar2(255 char),         delivery_id number(19,0),         member_id number(19,0),         primary key (order_id)     )
1687957606473|8|statement|connection 2|url jdbc:oracle:thin:@localhost:1521:xe|     alter table category         add constraint FK2y94svpmqttx80mshyny85wqr         foreign key (parent_id)         references category|     alter table category         add constraint FK2y94svpmqttx80mshyny85wqr         foreign key (parent_id)         references category
1687957606481|7|statement|connection 2|url jdbc:oracle:thin:@localhost:1521:xe|     alter table category_item         add constraint FKu8b4lwqutcdq3363gf6mlujq         foreign key (item_id)         references item|     alter table category_item         add constraint FKu8b4lwqutcdq3363gf6mlujq         foreign key (item_id)         references item
1687957606487|6|statement|connection 2|url jdbc:oracle:thin:@localhost:1521:xe|     alter table category_item         add constraint FKcq2n0opf5shyh84ex1fhukcbh         foreign key (category_id)         references category|     alter table category_item         add constraint FKcq2n0opf5shyh84ex1fhukcbh         foreign key (category_id)         references category
1687957606495|7|statement|connection 2|url jdbc:oracle:thin:@localhost:1521:xe|     alter table order_item         add constraint FKija6hjjiit8dprnmvtvgdp6ru         foreign key (item_id)         references item|     alter table order_item         add constraint FKija6hjjiit8dprnmvtvgdp6ru         foreign key (item_id)         references item
1687957606501|5|statement|connection 2|url jdbc:oracle:thin:@localhost:1521:xe|     alter table order_item         add constraint FKt4dc2r9nbvbujrljv3e23iibt         foreign key (order_id)         references orders|     alter table order_item         add constraint FKt4dc2r9nbvbujrljv3e23iibt         foreign key (order_id)         references orders
1687957606509|7|statement|connection 2|url jdbc:oracle:thin:@localhost:1521:xe|     alter table orders         add constraint FKtkrur7wg4d8ax0pwgo0vmy20c         foreign key (delivery_id)         references delivery|     alter table orders         add constraint FKtkrur7wg4d8ax0pwgo0vmy20c         foreign key (delivery_id)         references delivery
1687957606515|5|statement|connection 2|url jdbc:oracle:thin:@localhost:1521:xe|     alter table orders         add constraint FKpktxwhj3x9m4gth5ff6bkqgeb         foreign key (member_id)         references member|     alter table orders         add constraint FKpktxwhj3x9m4gth5ff6bkqgeb         foreign key (member_id)         references member
1687957608318|13|statement|connection 3|url jdbc:oracle:thin:@localhost:1521:xe|select member0_.member_id as member_id1_4_, member0_.city as city2_4_, member0_.street as street3_4_, member0_.zipcode as zipcode4_4_, member0_.name as name5_4_ from member member0_ where member0_.name=?|select member0_.member_id as member_id1_4_, member0_.city as city2_4_, member0_.street as street3_4_, member0_.zipcode as zipcode4_4_, member0_.name as name5_4_ from member member0_ where member0_.name='hong'
1687957608328|2|statement|connection 3|url jdbc:oracle:thin:@localhost:1521:xe|select hibernate_sequence.nextval from dual|select hibernate_sequence.nextval from dual
1687957608429|46|statement|connection 3|url jdbc:oracle:thin:@localhost:1521:xe|insert into member (city, street, zipcode, name, member_id) values (?, ?, ?, ?, ?)|insert into member (city, street, zipcode, name, member_id) values (NULL, NULL, NULL, 'hong', 1)
1687957608438|3|statement|connection 3|url jdbc:oracle:thin:@localhost:1521:xe|select member0_.member_id as member_id1_4_, member0_.city as city2_4_, member0_.street as street3_4_, member0_.zipcode as zipcode4_4_, member0_.name as name5_4_ from member member0_ where member0_.name=?|select member0_.member_id as member_id1_4_, member0_.city as city2_4_, member0_.street as street3_4_, member0_.zipcode as zipcode4_4_, member0_.name as name5_4_ from member member0_ where member0_.name='hong'
1687957608512|0|rollback|connection 3|url jdbc:oracle:thin:@localhost:1521:xe||
1687957608529|0|statement|connection 4|url jdbc:oracle:thin:@localhost:1521:xe|select member0_.member_id as member_id1_4_, member0_.city as city2_4_, member0_.street as street3_4_, member0_.zipcode as zipcode4_4_, member0_.name as name5_4_ from member member0_ where member0_.name=?|select member0_.member_id as member_id1_4_, member0_.city as city2_4_, member0_.street as street3_4_, member0_.zipcode as zipcode4_4_, member0_.name as name5_4_ from member member0_ where member0_.name='hong'
1687957608531|0|statement|connection 4|url jdbc:oracle:thin:@localhost:1521:xe|select hibernate_sequence.nextval from dual|select hibernate_sequence.nextval from dual
1687957608539|0|rollback|connection 4|url jdbc:oracle:thin:@localhost:1521:xe||
1687957638971|13|statement|connection 1|url jdbc:oracle:thin:@localhost:1521:xe|     drop table category cascade constraints|     drop table category cascade constraints
1687957638981|9|statement|connection 1|url jdbc:oracle:thin:@localhost:1521:xe|     drop table category_item cascade constraints|     drop table category_item cascade constraints
1687957638993|11|statement|connection 1|url jdbc:oracle:thin:@localhost:1521:xe|     drop table delivery cascade constraints|     drop table delivery cascade constraints
1687957639010|16|statement|connection 1|url jdbc:oracle:thin:@localhost:1521:xe|     drop table item cascade constraints|     drop table item cascade constraints
1687957639023|12|statement|connection 1|url jdbc:oracle:thin:@localhost:1521:xe|     drop table member cascade constraints|     drop table member cascade constraints
1687957639037|13|statement|connection 1|url jdbc:oracle:thin:@localhost:1521:xe|     drop table order_item cascade constraints|     drop table order_item cascade constraints
1687957639047|9|statement|connection 1|url jdbc:oracle:thin:@localhost:1521:xe|     drop table orders cascade constraints|     drop table orders cascade constraints
1687957639050|2|statement|connection 1|url jdbc:oracle:thin:@localhost:1521:xe|     drop sequence hibernate_sequence|     drop sequence hibernate_sequence
1687957639055|1|statement|connection 2|url jdbc:oracle:thin:@localhost:1521:xe|create sequence hibernate_sequence start with 1 increment by  1|create sequence hibernate_sequence start with 1 increment by  1
1687957639062|7|statement|connection 2|url jdbc:oracle:thin:@localhost:1521:xe|     create table category (        category_id number(19,0) not null,         name varchar2(255 char),         parent_id number(19,0),         primary key (category_id)     )|     create table category (        category_id number(19,0) not null,         name varchar2(255 char),         parent_id number(19,0),         primary key (category_id)     )
1687957639068|5|statement|connection 2|url jdbc:oracle:thin:@localhost:1521:xe|     create table category_item (        category_id number(19,0) not null,         item_id number(19,0) not null     )|     create table category_item (        category_id number(19,0) not null,         item_id number(19,0) not null     )
1687957639076|6|statement|connection 2|url jdbc:oracle:thin:@localhost:1521:xe|     create table delivery (        delivery_id number(19,0) not null,         city varchar2(255 char),         street varchar2(255 char),         zipcode varchar2(255 char),         status varchar2(255 char),         primary key (delivery_id)     )|     create table delivery (        delivery_id number(19,0) not null,         city varchar2(255 char),         street varchar2(255 char),         zipcode varchar2(255 char),         status varchar2(255 char),         primary key (delivery_id)     )
1687957639085|8|statement|connection 2|url jdbc:oracle:thin:@localhost:1521:xe|     create table item (        dtype varchar2(31 char) not null,         item_id number(19,0) not null,         name varchar2(255 char),         price number(10,0) not null,         stock_quantity number(10,0) not null,         artist varchar2(255 char),         exc varchar2(255 char),         author varchar2(255 char),         isbn varchar2(255 char),         actor varchar2(255 char),         director varchar2(255 char),         primary key (item_id)     )|     create table item (        dtype varchar2(31 char) not null,         item_id number(19,0) not null,         name varchar2(255 char),         price number(10,0) not null,         stock_quantity number(10,0) not null,         artist varchar2(255 char),         exc varchar2(255 char),         author varchar2(255 char),         isbn varchar2(255 char),         actor varchar2(255 char),         director varchar2(255 char),         primary key (item_id)     )
1687957639092|6|statement|connection 2|url jdbc:oracle:thin:@localhost:1521:xe|     create table member (        member_id number(19,0) not null,         city varchar2(255 char),         street varchar2(255 char),         zipcode varchar2(255 char),         name varchar2(255 char),         primary key (member_id)     )|     create table member (        member_id number(19,0) not null,         city varchar2(255 char),         street varchar2(255 char),         zipcode varchar2(255 char),         name varchar2(255 char),         primary key (member_id)     )
1687957639100|7|statement|connection 2|url jdbc:oracle:thin:@localhost:1521:xe|     create table order_item (        order_item_id number(19,0) not null,         count number(10,0) not null,         order_price number(10,0) not null,         item_id number(19,0),         order_id number(19,0),         primary key (order_item_id)     )|     create table order_item (        order_item_id number(19,0) not null,         count number(10,0) not null,         order_price number(10,0) not null,         item_id number(19,0),         order_id number(19,0),         primary key (order_item_id)     )
1687957639106|6|statement|connection 2|url jdbc:oracle:thin:@localhost:1521:xe|     create table orders (        order_id number(19,0) not null,         order_date timestamp,         status varchar2(255 char),         delivery_id number(19,0),         member_id number(19,0),         primary key (order_id)     )|     create table orders (        order_id number(19,0) not null,         order_date timestamp,         status varchar2(255 char),         delivery_id number(19,0),         member_id number(19,0),         primary key (order_id)     )
1687957639116|9|statement|connection 2|url jdbc:oracle:thin:@localhost:1521:xe|     alter table category         add constraint FK2y94svpmqttx80mshyny85wqr         foreign key (parent_id)         references category|     alter table category         add constraint FK2y94svpmqttx80mshyny85wqr         foreign key (parent_id)         references category
1687957639123|6|statement|connection 2|url jdbc:oracle:thin:@localhost:1521:xe|     alter table category_item         add constraint FKu8b4lwqutcdq3363gf6mlujq         foreign key (item_id)         references item|     alter table category_item         add constraint FKu8b4lwqutcdq3363gf6mlujq         foreign key (item_id)         references item
1687957639129|6|statement|connection 2|url jdbc:oracle:thin:@localhost:1521:xe|     alter table category_item         add constraint FKcq2n0opf5shyh84ex1fhukcbh         foreign key (category_id)         references category|     alter table category_item         add constraint FKcq2n0opf5shyh84ex1fhukcbh         foreign key (category_id)         references category
1687957639137|6|statement|connection 2|url jdbc:oracle:thin:@localhost:1521:xe|     alter table order_item         add constraint FKija6hjjiit8dprnmvtvgdp6ru         foreign key (item_id)         references item|     alter table order_item         add constraint FKija6hjjiit8dprnmvtvgdp6ru         foreign key (item_id)         references item
1687957639143|5|statement|connection 2|url jdbc:oracle:thin:@localhost:1521:xe|     alter table order_item         add constraint FKt4dc2r9nbvbujrljv3e23iibt         foreign key (order_id)         references orders|     alter table order_item         add constraint FKt4dc2r9nbvbujrljv3e23iibt         foreign key (order_id)         references orders
1687957639150|7|statement|connection 2|url jdbc:oracle:thin:@localhost:1521:xe|     alter table orders         add constraint FKtkrur7wg4d8ax0pwgo0vmy20c         foreign key (delivery_id)         references delivery|     alter table orders         add constraint FKtkrur7wg4d8ax0pwgo0vmy20c         foreign key (delivery_id)         references delivery
1687957639156|5|statement|connection 2|url jdbc:oracle:thin:@localhost:1521:xe|     alter table orders         add constraint FKpktxwhj3x9m4gth5ff6bkqgeb         foreign key (member_id)         references member|     alter table orders         add constraint FKpktxwhj3x9m4gth5ff6bkqgeb         foreign key (member_id)         references member
1687957640929|12|statement|connection 3|url jdbc:oracle:thin:@localhost:1521:xe|select member0_.member_id as member_id1_4_, member0_.city as city2_4_, member0_.street as street3_4_, member0_.zipcode as zipcode4_4_, member0_.name as name5_4_ from member member0_ where member0_.name=?|select member0_.member_id as member_id1_4_, member0_.city as city2_4_, member0_.street as street3_4_, member0_.zipcode as zipcode4_4_, member0_.name as name5_4_ from member member0_ where member0_.name='hong'
1687957640940|2|statement|connection 3|url jdbc:oracle:thin:@localhost:1521:xe|select hibernate_sequence.nextval from dual|select hibernate_sequence.nextval from dual
1687957641022|28|statement|connection 3|url jdbc:oracle:thin:@localhost:1521:xe|insert into member (city, street, zipcode, name, member_id) values (?, ?, ?, ?, ?)|insert into member (city, street, zipcode, name, member_id) values (NULL, NULL, NULL, 'hong', 1)
1687957641030|3|statement|connection 3|url jdbc:oracle:thin:@localhost:1521:xe|select member0_.member_id as member_id1_4_, member0_.city as city2_4_, member0_.street as street3_4_, member0_.zipcode as zipcode4_4_, member0_.name as name5_4_ from member member0_ where member0_.name=?|select member0_.member_id as member_id1_4_, member0_.city as city2_4_, member0_.street as street3_4_, member0_.zipcode as zipcode4_4_, member0_.name as name5_4_ from member member0_ where member0_.name='hong'
1687957641103|0|rollback|connection 3|url jdbc:oracle:thin:@localhost:1521:xe||
